car_name,yr_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,registered_city,registered_state,is_hot,rto,source,make,model,car_availability,total_owners,broker_quote,original_price,car_rating,ad_created_on,fitness_certificate,emi_starts_from,booking_down_pymnt,reserved,warranty_avail
maruti swift dzire,2013,petrol,56518,484299,bengaluru,1517,sedan,manual,vxi 1.2 bs iv,True,bangalore central,karnataka,True,ka01,inperson_sale,maruti,swift dzire,in_stock,2,460000,555900.0,great,2020-10-27T23:30:10.112,True,11249,72645,False,False
volkswagen polo,2010,petrol,41363,231499,pune,3867,hatchback,manual,trendline 1.2l petrol,True,kalyan,maharashtra,True,mh01,inperson_sale,volkswagen,polo,in_stock,2,220677,,great,2021-03-07T10:17:16.819,True,5377,34725,True,False
maruti ertiga,2013,diesel,112013,601299,bengaluru,756,suv,manual,zdi,True,bengaluru,karnataka,True,ka53,inperson_sale,maruti,ertiga,in_stock,2,563909,,great,2021-04-12T06:06:18.782,True,13967,90195,False,False
maruti swift,2014,petrol,46001,349799,new delhi,1348,hatchback,manual,lxi,True,delhi,delhi,True,dl8c,inperson_sale,maruti,swift,in_stock,2,332100,425502.0,great,2021-03-18T18:14:41.676,True,8125,52470,False,False
maruti alto,2019,petrol,27799,338099,ahmedabad,354,hatchback,manual,lxi,True,ahmedabad east,gujarat,True,gj27,inperson_sale,maruti,alto,in_stock,1,324170,401089.0,great,2021-03-24T11:11:21.786,True,7853,50715,False,False
maruti baleno,2016,petrol,29711,666299,chennai,360,hatchback,manual,alpha 1.2 k12,True,chennai,tamil nadu,True,tn14,inperson_sale,maruti,baleno,in_stock,1,642270,666399.0,great,2021-04-12T11:12:43.605,True,15476,99945,False,False
maruti alto 800,2016,petrol,7011,313799,hyderabad,919,hatchback,manual,lxi,True,hyderabad,telangana,True,ts07,inperson_sale,maruti,alto 800,in_stock,1,265629,313899.0,great,2021-04-19T11:57:24.412,True,7289,47070,False,False
hyundai i20,2010,petrol,38182,259399,mumbai,1579,hatchback,manual,magna o 1.2,False,mumbai,maharashtra,True,mh02,inperson_sale,hyundai,i20,in_stock,1,249454,,great,2021-02-22T12:41:42.156,True,6025,38910,True,False
maruti sx4,2008,petrol & cng,117269,125000,new delhi,197,sedan,manual,zxi,True,delhi west,delhi,False,dl8c,online,maruti,sx4,,4,51000,,overpriced,2019-09-06T12:50:25.547,True,2903,18750,False,False
maruti alto 800,2016,petrol,32135,294899,hyderabad,425,hatchback,manual,lxi,True,hyderabad,telangana,True,ts07,inperson_sale,maruti,alto 800,,2,254334,294999.0,great,2021-05-05T08:08:35.158,True,6850,44235,False,False
maruti alto,2010,petrol,14455,182299,new delhi,1267,hatchback,manual,lxi,True,delhi,delhi,True,dl2c,inperson_sale,maruti,alto,in_stock,1,156000,,good,2021-02-25T06:51:54.928,True,4234,27345,False,False
ford figo,2011,petrol,85096,167899,new delhi,2679,hatchback,manual,1.2 zxi duratec,True,delhi,delhi,True,dl4c,inperson_sale,ford,figo,in_stock,1,152652,206422.0,great,2021-01-25T09:44:00.86,True,3900,25185,True,False
maruti swift,2015,petrol,14864,400099,pune,2619,hatchback,manual,vxi,True,dombivali,maharashtra,True,mh05,inperson_sale,maruti,swift,in_stock,1,413840,468782.0,great,2020-12-27T08:36:13.897,True,9293,60015,False,False
maruti celerio,2016,petrol,9146,452099,bengaluru,468,hatchback,automatic,vxi amt,True,bengaluru,karnataka,True,ka04,inperson_sale,maruti,celerio,in_stock,2,416407,,great,2021-03-29T13:06:33.62,True,10501,67815,True,False
maruti swift,2009,petrol,96354,239299,noida,338,hatchback,manual,vxi,True,new delhi,delhi,True,dl7c,inperson_sale,maruti,swift,in_stock,2,197667,262687.0,good,2021-02-09T14:49:03.098,True,5558,35895,False,False
maruti swift,2008,petrol,137444,163499,new delhi,1531,hatchback,manual,lxi 1.3,True,delhi,delhi,True,dl2c,inperson_sale,maruti,swift,in_stock,1,161995,218090.0,great,2021-02-14T13:46:25.79,True,3798,24525,True,False
maruti wagon r,2010,petrol,77896,262599,pune,2218,hatchback,manual,vxi,True,pune,maharashtra,True,mh12,inperson_sale,maruti,wagon r,in_stock,1,206525,,great,2021-03-09T14:47:51.142,True,6100,39390,False,False
maruti wagon r 1.0,2014,petrol,62642,410099,bengaluru,273,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka53,inperson_sale,maruti,wagon r 1.0,in_stock,1,369112,,great,2021-03-15T12:16:00.21,True,9526,61515,False,False
honda amaze,2013,petrol,45594,377999,mumbai,517,sedan,manual,1.2 smt i vtec,True,mumbai,maharashtra,True,mh02,inperson_sale,honda,amaze,in_stock,2,360272,381699.0,great,2021-03-28T12:24:06.552,True,8780,56700,False,False
ford figo,2011,petrol,40590,243599,hyderabad,1824,hatchback,manual,1.2 zxi duratec,True,hyderabad,telangana,True,ap09,inperson_sale,ford,figo,out_of_stock,1,230000,289040.0,good,2021-03-16T09:29:12.622,True,5658,36540,True,False
hyundai eon,2015,petrol,51344,252099,gurgaon,556,hatchback,manual,era plus,True,gurgaon,haryana,True,hr26,inperson_sale,hyundai,eon,in_stock,1,234860,,great,2021-03-04T06:36:18.875,True,5856,37815,True,False
volkswagen vento,2011,diesel,192809,335699,hyderabad,2095,sedan,manual,highline diesel,True,hyderabad,telangana,True,ap09,inperson_sale,volkswagen,vento,in_stock,1,292214,,great,2021-03-21T11:07:55.515,True,7797,50355,False,False
mahindra scorpio,2016,diesel,142341,929199,lucknow,8039,suv,manual,s10,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,mahindra,scorpio,in_stock,1,945340,1146274.0,great,2020-11-18T19:00:07.773,True,21583,139380,False,False
maruti alto 800,2016,petrol,7507,294199,new delhi,1236,hatchback,manual,lxi,True,delhi,delhi,True,dl2c,inperson_sale,maruti,alto 800,in_stock,1,275456,,great,2021-04-13T13:18:24.248,True,6834,44130,True,False
ford ecosport,2013,petrol,63466,500000,bengaluru,272,suv,manual,1.0 ecoboost titanium,False,bangalore south,karnataka,False,ka05,online,ford,ecosport,in_stock,1,402000,,fair,2020-05-25T10:05:42.556,True,11614,75000,False,False
hyundai i20,2013,petrol,29656,339299,noida,4397,hatchback,manual,magna o 1.2,True,ghaziabad,uttar pradesh,True,up14,inperson_sale,hyundai,i20,in_stock,1,335275,430359.0,great,2021-03-11T13:32:31.741,True,7881,50895,True,False
hyundai elite i20,2014,petrol,49596,495899,mumbai,500,hatchback,manual,sportz (o) 1.2,True,mumbai,maharashtra,True,mh03,inperson_sale,hyundai,elite i20,in_stock,1,473042,,great,2021-04-03T12:18:04.945,True,11518,74385,True,False
honda brio,2012,petrol,40636,260199,pune,1870,hatchback,manual,1.2 e mt i vtec,True,yavatmal,maharashtra,True,mh29,inperson_sale,honda,brio,in_stock,1,220000,,great,2021-03-16T14:03:45.652,True,6044,39030,False,False
hyundai i10,2014,petrol,58303,352799,hyderabad,1884,hatchback,manual,sportz 1.1 irde2,True,hyderabad,telangana,True,ap09,inperson_sale,hyundai,i10,in_stock,1,344516,425311.0,great,2021-02-19T10:57:06.163,True,8195,52920,True,False
mahindra nuvosport,2016,diesel,100131,407499,new delhi,543,suv,manual,n6 mhawk,True,new delhi,delhi,True,dl10,inperson_sale,mahindra,nuvosport,in_stock,1,354900,412299.0,great,2021-02-22T08:36:39.383,True,9465,61125,False,False
hyundai aura,2020,petrol,11292,610499,ahmedabad,4588,sedan,,s mt,True,ahmedabad,gujarat,True,gj01,inperson_sale,hyundai,aura,in_stock,1,605250,732914.0,great,2021-04-12T09:19:24.09,True,14180,91575,False,False
hyundai grand i10,2018,petrol,11519,418999,ahmedabad,3733,hatchback,manual,era 1.2 kappa vtvt,True,ahmedabad,gujarat,True,gj01,inperson_sale,hyundai,grand i10,in_stock,1,427000,517290.0,great,2021-04-08T07:54:05.72,True,9732,62850,False,False
maruti alto k10,2015,petrol,53989,316799,bengaluru,178,hatchback,manual,vxi,True,bengaluru,karnataka,True,ka41,inperson_sale,maruti,alto k10,in_transit,1,308414,,great,2021-03-03T12:34:37.181,True,7358,47520,False,False
mahindra xuv500,2017,diesel,63366,1322599,bengaluru,1863,luxury suv,automatic,w10 at,True,bengaluru,karnataka,True,ka04,inperson_sale,mahindra,xuv500,in_stock,1,1356326,1357826.0,great,2021-02-28T10:03:39.49,True,30721,198390,True,False
maruti ciaz,2014,petrol,56469,479999,new delhi,1184,sedan,manual,zxi,True,new delhi,delhi,True,dl9c,inperson_sale,maruti,ciaz,in_stock,1,494873,501373.0,great,2021-02-27T08:17:50.557,True,11149,72000,True,False
hyundai i20,2010,petrol,75640,256099,new delhi,357,hatchback,manual,sportz 1.2 o,True,noida,uttar pradesh,True,up16,inperson_sale,hyundai,i20,in_stock,2,217566,259799.0,good,2021-03-21T05:17:04.149,True,5949,38415,False,False
renault kwid,2016,petrol,30909,373799,hyderabad,1233,hatchback,automatic,rxt 1.0 easy-r at option,True,vijayawada,andhra pradesh,True,ap16,inperson_sale,renault,kwid,,1,326756,,great,2021-04-29T08:36:24.845,True,8682,56070,True,False
hyundai elite i20,2015,petrol,41701,516000,bengaluru,328,hatchback,manual,sportz 1.2,False,banglore-cafe dly,karnataka,False,ka02,online,hyundai,elite i20,in_stock,1,381000,,great,2020-05-05T20:32:10.82,True,11985,77400,False,False
honda city,2010,petrol,64985,421999,bengaluru,1250,sedan,manual,v mt petrol,True,bangalore south,karnataka,True,ka05,inperson_sale,honda,city,in_stock,1,413504,,great,2021-03-31T13:15:18.593,True,9802,63300,False,False
maruti swift,2016,petrol,61191,446799,bengaluru,768,hatchback,manual,lxi opt,True,electronic city,karnataka,True,ka05,inperson_sale,maruti,swift,in_stock,2,452000,546540.0,great,2020-12-29T05:23:33.589,True,10378,67020,True,False
volkswagen vento,2011,petrol,64456,350199,hyderabad,1307,sedan,manual,highline petrol,True,hyderabad,telangana,True,ap09,inperson_sale,volkswagen,vento,in_stock,2,288481,350299.0,good,2021-04-13T07:14:06.658,True,8134,52530,False,False
maruti alto 800,2014,petrol,35406,290399,bengaluru,381,hatchback,manual,lxi,True,bengaluru,karnataka,True,ka03,inperson_sale,maruti,alto 800,in_stock,1,272594,,great,2021-04-07T10:48:16.311,True,6745,43560,False,False
